Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
45.0,1,1,5,15.479459634757031,1,0,10.0,108.0,86.0,19.0,Low
24.0,0,1,4,16.402265958532684,0,0,5.0,77.0,56.0,23.0,Medium
45.0,1,3,2,19.920504908456188,1,2,6.0,36.0,4.0,23.0,Low
34.0,0,1,1,3.3922287933261,0,0,4.0,50.0,10.0,0.0,Low
43.0,1,0,4,9.036937191013484,0,0,13.0,23.0,59.0,22.0,Medium
30.0,1,1,1,1.8130459673739887,0,2,1.0,61.0,85.0,19.0,Low
16.0,0,3,4,19.495021532717768,0,0,0.0,14.0,74.0,31.0,Low
22.0,1,0,0,10.56039386128518,0,2,9.0,164.0,8.0,31.0,High
46.0,0,3,2,16.562049336539083,0,0,4.0,75.0,14.0,10.0,Low
44.0,1,1,0,15.772382652704614,0,2,8.0,179.0,70.0,15.0,High
32.0,1,1,0,8.323105500836398,0,1,2.0,57.0,6.0,34.0,Low
18.0,0,3,4,10.401660220469592,0,1,0.0,56.0,18.0,15.0,Low
40.0,1,1,4,4.447332866589206,1,0,0.0,141.0,36.0,9.0,Low
46.0,0,1,1,16.006640953906025,0,2,16.0,52.0,44.0,10.0,Medium
31.0,0,1,0,2.562409454687849,0,1,15.0,157.0,22.0,26.0,High
22.0,0,3,2,1.3236289344972123,0,0,16.0,63.0,9.0,44.0,Medium
16.0,1,1,2,20.25964949859928,0,2,11.0,161.0,33.0,27.0,High
19.0,1,1,2,2.9735907340136274,1,0,8.0,60.0,12.0,7.0,Medium
48.0,0,3,4,23.28908303219107,0,2,11.0,123.0,97.0,13.0,Medium
32.0,1,0,1,3.181756253583428,0,1,1.0,45.0,65.0,0.0,Low
15.0,1,3,4,16.724149907229993,1,0,16.0,139.0,47.0,39.0,High
25.0,1,0,4,6.102332666320181,0,0,17.0,34.0,70.0,23.0,Medium
25.0,1,3,3,7.06312727333613,1,2,2.0,22.0,90.0,30.0,Low
21.0,1,1,3,9.848720998992007,0,0,3.0,160.0,39.0,24.0,High
29.0,1,3,1,1.562943488689294,0,1,9.0,141.0,53.0,18.0,Medium
18.0,1,3,0,17.932487076740667,1,0,15.0,62.0,99.0,37.0,Medium
30.0,1,3,3,13.445631998995571,0,2,1.0,14.0,27.0,11.0,Low
36.0,1,1,0,13.464332745939677,0,0,11.0,29.0,82.0,31.0,Medium
24.0,1,3,3,22.417711243849183,0,0,,119.0,54.0,30.0,Low
23.0,0,3,2,10.9616685470267,0,1,4.0,138.0,53.0,45.0,Medium
35.0,0,0,3,10.608533609506894,0,0,19.0,,61.0,47.0,High
48.0,0,1,1,1.1276905900555487,0,1,18.0,154.0,99.0,24.0,High
29.0,1,3,2,12.296495901968653,0,1,18.0,74.0,61.0,25.0,Medium
42.0,1,1,4,22.503332798668588,0,0,3.0,148.0,13.0,11.0,Medium
42.0,1,3,4,12.251389998281326,0,1,9.0,91.0,18.0,36.0,Medium
17.0,0,2,2,5.620039716722158,0,2,9.0,104.0,45.0,43.0,Medium
17.0,1,3,0,2.639907434722013,0,2,12.0,39.0,38.0,6.0,Medium
34.0,0,3,0,21.472561503856305,0,1,7.0,70.0,43.0,48.0,High
41.0,1,1,2,3.214966893152245,1,2,12.0,133.0,6.0,13.0,High
24.0,1,3,0,3.755391918169561,0,0,9.0,81.0,32.0,42.0,Medium
25.0,0,0,0,4.60842767583761,0,1,8.0,161.0,66.0,32.0,Low
33.0,0,3,0,21.30619206522495,0,0,12.0,16.0,22.0,2.0,Low
24.0,0,1,1,13.310992142416412,0,2,11.0,16.0,72.0,9.0,Medium
21.0,1,1,3,0.0256151812903047,0,0,3.0,50.0,94.0,5.0,Low
24.0,1,2,3,17.26977404564006,2,0,3.0,79.0,81.0,18.0,Low
32.0,1,1,3,14.526721474942931,0,0,17.0,22.0,20.0,31.0,Low
29.0,1,2,2,9.246699095537146,0,0,4.0,171.0,51.0,25.0,Medium
36.0,1,1,0,21.16685169986986,0,0,19.0,20.0,93.0,9.0,Medium
25.0,1,3,0,3.780869671467104,0,1,8.0,161.0,58.0,41.0,Medium
26.0,1,1,5,6.423411292030684,0,0,19.0,38.0,44.0,47.0,Medium
30.0,0,3,4,9.006167705426687,2,0,5.0,112.0,75.0,19.0,Medium
15.0,0,1,2,15.608162347691067,0,0,19.0,87.0,5.0,21.0,High
30.0,1,0,3,9.89293390396474,0,2,18.0,73.0,19.0,11.0,Medium
